Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,employment_status,collector_type_source,What is your favorite song? Please enter (1) the song name and (2) the corresponding artist name. Please use correct spelling.,,What is the primary feeling that your favorite song creates within you? Please enter only one feeling and use correct spelling.,Gender,Age,Major US Region,Device,Household Income
,,,,,,,,,,,Song Name,Artist Name,Open-Ended Response,,,,,
115111598780,439912229,06/01/2026 09:19:04 PM,06/01/2026 09:19:49 PM,,,,,f9a011e5c44bf7842313ff0b20,employed_full_time,smc,the the the,i don’t know,the only way i could,female,18_to_29,south_atlantic,ios_mobile,50000_to_74999
115111563050,439912229,06/01/2026 07:40:04 PM,06/01/2026 07:43:53 PM,,,,,d8e70379b1d8958ad1f1dd737e,employed_full_time,smc,shake it off,Tailor Swift,relaxed,female,30_to_44,south_atlantic,android_mobile,150000_to_174999
115111562497,439912229,06/01/2026 07:40:52 PM,06/01/2026 07:42:24 PM,,,,,5e4636626e400fe240ff4094a0,employed_full_time,smc,Luther,Kendrick Lamar,Feels Good,female,30_to_44,south_atlantic,android_mobile,125000_to_149999
115111562300,439912229,06/01/2026 07:40:58 PM,06/01/2026 07:41:54 PM,,,,,b8aa044e8fd699a3b6b640db87,employed_full_time,smc,na,na,na,female,18_to_29,south_atlantic,android_mobile,75000_to_99999
115111527520,439912229,06/01/2026 06:19:29 PM,06/01/2026 06:20:17 PM,,,,,a7510321dd8b2c05a5c2445421,employed_full_time,smc,worship,Asake,Blessed,female,45_to_60,west_north_central,android_mobile,150000_to_174999
115111527339,439912229,06/01/2026 06:19:00 PM,06/01/2026 06:19:55 PM,,,,,8d7c5f62fbd1f68aebd5242314,employed_full_time,smc,Firework,Katy Perry,Happy,female,45_to_60,south_atlantic,ios_mobile,150000_to_174999
115111527233,439912229,06/01/2026 06:18:58 PM,06/01/2026 06:19:43 PM,,,,,2bba3446143c6c424edb594214,employed_full_time,smc,n/a,n/a,n/a,female,45_to_60,pacific,android_mobile,175000_to_199999
115111519234,439912229,06/01/2026 06:02:24 PM,06/01/2026 06:03:49 PM,,,,,34fd3691a5030de10be4e19307,employed_full_time,smc,Heroes,David Bowie,Joy,female,45_to_60,pacific,ios_mobile,100000_to_124999
115111518827,439912229,06/01/2026 06:02:28 PM,06/01/2026 06:03:12 PM,,,,,2812533409c56a48b18f9dffc2,employed_full_time,smc,mikel,joy,great,female,45_to_60,middle_atlantic,android_mobile,150000_to_174999
115111511037,439912229,06/01/2026 05:46:15 PM,06/01/2026 05:47:42 PM,,,,,a149275ee593c0fc95c5bba7b2,employed_full_time,smc,N/A,N/A,N/A,female,45_to_60,mountain,android_mobile,175000_to_199999
115111510604,439912229,06/01/2026 05:46:05 PM,06/01/2026 05:46:53 PM,,,,,101fbf781382811fabdf2accdc,employed_full_time,smc,love,wiskid,the beat,female,45_to_60,south_atlantic,android_mobile,150000_to_174999
115111509429,439912229,06/01/2026 05:37:54 PM,06/01/2026 05:44:41 PM,,,,,d7e3b54cf3675d924c1f5a1187,employed_full_time,smc,A bar song ,Shaboozey,Carefree,male,45_to_60,east_north_central,ios_mobile,200000_and_up
115111508411,439912229,06/01/2026 05:36:16 PM,06/01/2026 05:42:42 PM,,,,,a9530277cf1badeee4dcccd930,employed_full_time,smc,It's Too Late,Carole King,I have felt that during a relationship I had,male,60_above,pacific,pc_windows,125000_to_149999
115111506571,439912229,06/01/2026 05:38:18 PM,06/01/2026 05:39:23 PM,,,,,acbaedfd0673699fc433242d97,employed_full_time,smc,Equality,Tom Macdonald,Patriotism,male,45_to_60,west_south_central,android_mobile,100000_to_124999
115111506541,439912229,06/01/2026 05:37:56 PM,06/01/2026 05:39:21 PM,,,,,c25338c660a894bbd21c74f764,employed_full_time,smc,3 little bird ,Bob Marley ,Hope ,male,45_to_60,south_atlantic,android_mobile,50000_to_74999
115111506347,439912229,06/01/2026 05:37:49 PM,06/01/2026 05:39:11 PM,,,,,4d6dd122d38968ca70cb9790bf,employed_full_time,smc,Hurt,Nine inch nails,Joy,male,45_to_60,south_atlantic,android_mobile,200000_and_up
115111506114,439912229,06/01/2026 05:37:55 PM,06/01/2026 05:38:38 PM,,,,,665bdd366ed2b1add8404b3846,employed_full_time,smc,Heavy Metal,Sammy Hagar,Happy,male,45_to_60,east_south_central,ios_mobile,25000_to_49999
115111506101,439912229,06/01/2026 05:37:28 PM,06/01/2026 05:38:37 PM,,,,,743b064a93a936e8862367fa2c,employed_full_time,smc,Thuggish Ruggish Bone,Bone Thugs,Takes me back to high school 90s,male,45_to_60,pacific,android_mobile,75000_to_99999
115111506062,439912229,06/01/2026 05:36:30 PM,06/01/2026 05:38:32 PM,,,,,81926867bcf5b5cb050d62b06b,employed_full_time,smc,More Than A Feeling,Boston,It makes me feel joy.,male,60_above,west_south_central,pc_windows,150000_to_174999
115111506030,439912229,06/01/2026 05:37:53 PM,06/01/2026 05:38:30 PM,,,,,e48a08e8bea788c252eff55aaf,employed_full_time,smc,Friends in low places,Garth Brooks,I can relate to this song,male,45_to_60,mountain,pc_windows,75000_to_99999
115111505931,439912229,06/01/2026 05:37:24 PM,06/01/2026 05:38:20 PM,,,,,73a1b5e9251788587d30d3cb61,employed_full_time,smc,Livin on a Prayer ,Bon Jovi,Memories,male,45_to_60,south_atlantic,ios_mobile,50000_to_74999
115111505922,439912229,06/01/2026 05:38:02 PM,06/01/2026 05:38:19 PM,,,,,6f349290de5daaf6384b6a1846,employed_full_time,smc,good,better,best,female,45_to_60,pacific,android_mobile,150000_to_174999
115111505912,439912229,06/01/2026 05:35:40 PM,06/01/2026 05:38:17 PM,,,,,18696fa5a26d1c89c23d0ffd5d,employed_full_time,smc,Win,Jay rock,Happy ,male,45_to_60,mountain,android_mobile,50000_to_74999
115111505687,439912229,06/01/2026 05:37:14 PM,06/01/2026 05:37:54 PM,,,,,345623e4b4f396604910446e5d,employed_full_time,smc,Still I rise,Yolanda adams ,Worship music ,male,60_above,pacific,android_mobile,0_to_9999
